idCliente,numero,Formato,stock,fechaStock
2,3,AS,35147,2016-04-04
2,5,MG,22086,2016-04-04
2,8,AS,40580,2016-04-04
2,9,AS,40636,2016-04-04
2,15,AS,48552,2016-04-04
2,16,MG,30346,2016-04-04
2,18,AS,31913,2016-04-04
2,21,AS,23447,2016-04-04
2,24,MF,21082,2016-04-04
2,26,MF,23996,2016-04-04
2,28,MG,23009,2016-04-04
2,29,MG,23218,2016-04-04
2,30,MG,22617,2016-04-04
2,32,MF,17283,2016-04-04
2,35,MG,30719,2016-04-04
2,36,MF,21946,2016-04-04
2,37,AS,37860,2016-04-04
2,38,MF,21639,2016-04-04
2,39,MG,29385,2016-04-04
2,42,MF,20553,2016-04-04
2,43,MF,20133,2016-04-04
2,47,MF,17559,2016-04-04
2,49,MF,13258,2016-04-04
2,50,AS,45796,2016-04-04
2,51,AS,42631,2016-04-04
2,52,AS,37063,2016-04-04
2,53,AS,39347,2016-04-04
2,54,MF,16494,2016-04-04
2,55,MF,14034,2016-04-04
2,57,MF,15479,2016-04-04
2,62,AS,44076,2016-04-04
2,63,MF,12586,2016-04-04
2,65,MF,11226,2016-04-04
2,66,MF,13462,2016-04-04
2,67,MF,28615,2016-04-04
2,68,MF,17838,2016-04-04
2,70,MG,22426,2016-04-04
2,71,MG,30215,2016-04-04
2,72,MG,33127,2016-04-04
2,73,AS,34392,2016-04-04
2,74,AS,32767,2016-04-04
2,77,MG,28611,2016-04-04
2,78,MG,19665,2016-04-04
2,79,MG,22774,2016-04-04
2,80,AS,34723,2016-04-04
2,81,MF,18472,2016-04-04
2,82,AS,45587,2016-04-04
2,83,MF,20678,2016-04-04
2,84,MG,23312,2016-04-04
2,85,MG,25680,2016-04-04
2,87,MG,38998,2016-04-04
2,88,AS,27186,2016-04-04
2,89,MG,33658,2016-04-04
2,90,AS,35967,2016-04-04
2,91,AS,60556,2016-04-04
2,92,AS,30643,2016-04-04
2,93,MG,26324,2016-04-04
2,94,AS,29599,2016-04-04
2,95,AS,46845,2016-04-04
2,98,MG,23849,2016-04-04
2,99,MF,13544,2016-04-04
2,102,MG,26810,2016-04-04
2,103,MF,18721,2016-04-04
2,105,MF,20477,2016-04-04
2,107,AS,45400,2016-04-04
2,108,AS,47286,2016-04-04
2,109,AS,26054,2016-04-04
2,110,MF,24329,2016-04-04
2,111,MG,19567,2016-04-04
2,114,MG,46156,2016-04-04
2,116,AS,29639,2016-04-04
2,119,MG,18563,2016-04-04
2,121,MF,30624,2016-04-04
2,122,MF,17207,2016-04-04
2,123,AS,44397,2016-04-04
2,124,AS,30717,2016-04-04
2,125,MG,27804,2016-04-04
2,126,AS,23017,2016-04-04
2,127,MF,14685,2016-04-04
2,128,MG,22989,2016-04-04
2,129,MG,24280,2016-04-04
2,130,MF,15028,2016-04-04
2,132,MG,25088,2016-04-04
2,134,MG,28456,2016-04-04
2,135,MF,16729,2016-04-04
2,136,MG,23521,2016-04-04
2,138,AS,37024,2016-04-04
2,139,MF,14783,2016-04-04
2,140,MG,25897,2016-04-04
2,141,AS,45491,2016-04-04
2,144,MG,31538,2016-04-04
2,147,MG,38880,2016-04-04
2,148,MF,17898,2016-04-04
2,150,AS,37193,2016-04-04
2,151,MG,31859,2016-04-04
2,152,MF,23297,2016-04-04
2,153,MG,24024,2016-04-04
2,154,AS,47999,2016-04-04
2,155,MF,25318,2016-04-04
2,156,AS,26029,2016-04-04
2,157,AS,40494,2016-04-04
2,158,AS,31303,2016-04-04
2,159,AS,29755,2016-04-04
2,160,MG,27476,2016-04-04
2,162,AS,30006,2016-04-04
2,163,MG,18972,2016-04-04
2,164,AS,22411,2016-04-04
2,165,AS,57318,2016-04-04
2,168,MG,21307,2016-04-04
2,169,AS,30282,2016-04-04
2,170,MG,25743,2016-04-04
2,171,MG,26502,2016-04-04
2,172,AS,27187,2016-04-04
2,175,AS,24217,2016-04-04
2,177,AS,23143,2016-04-04
2,179,AS,29888,2016-04-04
2,180,AS,48480,2016-04-04
2,181,AS,34333,2016-04-04
2,184,MG,26824,2016-04-04
2,185,MG,27931,2016-04-04
2,186,AS,37385,2016-04-04
2,187,AS,30354,2016-04-04
2,188,MF,28635,2016-04-04
2,189,AS,29943,2016-04-04
2,191,MF,27513,2016-04-04
2,192,MF,6396,2016-04-04
2,193,AS,43525,2016-04-04
2,195,MG,33145,2016-04-04
2,197,MG,43819,2016-04-04
2,198,MG,23730,2016-04-04
2,199,MF,14924,2016-04-04
2,200,AS,47366,2016-04-04
2,201,AS,31144,2016-04-04
2,203,MF,16309,2016-04-04
2,204,AS,25341,2016-04-04
2,205,MG,25480,2016-04-04
2,206,AS,35274,2016-04-04
2,208,AS,30077,2016-04-04
2,210,AS,45839,2016-04-04
2,211,AS,39992,2016-04-04
2,214,AS,43841,2016-04-04
2,215,AS,35733,2016-04-04
2,216,MG,17682,2016-04-04
2,217,AS,40587,2016-04-04
2,219,MG,45643,2016-04-04
2,220,AS,57110,2016-04-04
2,221,MG,23886,2016-04-04
2,222,AS,29264,2016-04-04
2,223,AS,42116,2016-04-04
2,224,MF,21585,2016-04-04
2,225,AS,39602,2016-04-04
2,226,MF,13528,2016-04-04
2,227,AS,34048,2016-04-04
2,228,AS,46595,2016-04-04
2,229,MG,35656,2016-04-04
2,230,AS,49119,2016-04-04
2,231,MF,20360,2016-04-04
2,232,AS,27495,2016-04-04
2,233,AS,25482,2016-04-04
2,234,AS,30213,2016-04-04
2,235,AS,41660,2016-04-04
2,236,MG,26158,2016-04-04
2,237,MG,25922,2016-04-04
2,238,AS,38322,2016-04-04
2,239,MF,19257,2016-04-04
2,241,AS,48260,2016-04-04
2,243,AS,26011,2016-04-04
2,245,MG,27293,2016-04-04
2,246,AS,41016,2016-04-04
2,247,AS,46929,2016-04-04
2,248,MG,35942,2016-04-04
2,249,MG,31209,2016-04-04
2,250,AS,36805,2016-04-04
2,251,AS,39178,2016-04-04
2,252,AS,24147,2016-04-04
2,253,MF,16756,2016-04-04
2,254,MG,19394,2016-04-04
2,255,MF,16878,2016-04-04
2,258,AS,23404,2016-04-04
2,259,MG,33417,2016-04-04
2,260,AS,24965,2016-04-04
2,261,MF,19232,2016-04-04
