idCliente,numero,nombre,jornada,idJornadaSugerida,horaApertura,horaCierre,emailContacto,codArea1,telefono1,codArea2,telefono2,stock,fechaActualizacionStock,idFormatoLocal,Formato,REGION,CIUDAD - COMUNA,cutComuna,direccion,referencia,gmapShortUrl,gmapIframeUrl,createdAt,editedAt
2,3,3 Viña del Mar 1,noche,3,08:30,21:30,f_cv003@farmacruzverde.cl,(32),2 71 3692,(32),2 71 4701,33001,2016-02-15,1,Autoservicio,V,Viña del Mar 1,5109,Avenida Valparaíso Nº 640,,,,,
2,5,5 Huechuraba 1,noche,3,09:00,22:00,f_cv005@farmacruzverde.cl,,,,,24077,2016-02-15,3,Multifuncional c/góndolas,RM,Huechuraba 1,13107,Avenida Pedro Fontova Nº 7523,,,,,
2,8,8 Valparaíso 1,noche,3,08:30,21:30,f_cv008@farmacruzverde.cl,(32),2 59 6084,(32),2 21 2777,32455,2016-02-15,1,Autoservicio,V,Valparaíso 1,5101,Condell Nº 1302,,,,,
2,9,9 Valparaíso 2,noche,3,00:01,24:00,f_cv009@farmacruzverde.cl,(32),2 74 5048,,,33026,2016-02-15,1,Autoservicio,V,Valparaíso 2,5101,Pedro Montt Nº 1902,,,,,
2,15,15 Viña del Mar 2,noche,3,00:01,24:00,f_cv015@farmacruzverde.cl,(32),2 71 4044,(32),2 71 4835,41292,2016-02-15,1,Autoservicio,V,Viña del Mar 2,5109,Avenida Valparaíso Nº 404 (Flaño),,,,,
2,16,16 Providencia 1,noche,3,08:00,23:00,f_cv016@farmacruzverde.cl,(2),2235 7772,, ,27856,2016-02-15,3,Multifuncional c/góndolas,RM,Providencia 1,13123,Avenida Eliodoro Yañez Nº 1281,,,,,
2,18,18 Quillota 1,noche,3,09:00,21:00,f_cv018@farmacruzverde.cl,(33),2 31 9578,(33),2 31 9579,31045,2016-02-15,1,Autoservicio,V,Quillota 1,5501,Chacabuco Nº 281,,,,,
2,21,21 Talca 1,noche,3,09:00,22:00,f_cv021@farmacruzverde.cl,,,(2),(2694 4000) 5091,24069,2016-02-15,1,Autoservicio,VII,Talca 1,7101,"2 Norte Nº 3230, Local H.",,,,,
2,24,24 Estación Central 1,noche,3,09:00,21:00,f_cv024@farmacruzverde.cl,(2),2689 2340,(2),2689 3239,18263,2016-02-15,2,Multifuncional,RM,Estación Central 1,13106,Avenida Libertador Bernardo O' Higgins Nº 3002,,,,,
2,26,26 Santiago 1,noche,3,08:00,22:00,f_cv026@farmacruzverde.cl,(2),2687 3775,(2),2695 6933,12746,2016-02-15,2,Multifuncional,RM,Santiago 1,13101,Ahumada Nº 127,,,,,
