idCliente,numero,nombre,jornada,idJornadaSugerida,horaApertura,horaCierre,emailContacto,codArea1,telefono1,codArea2,telefono2,stock,fechaActualizacionStock,Formato,idFormatoLocal,REGION,CIUDAD,cutComuna,direccion,referencia,gmapShortUrl,gmapIframeUrl,createdAt,editedAt
1,1,Alameda,dia y noche,4,08:30,21:00,,,2- 7150373,,,142745,2016-02-08,Peatonales,7,METROPOLITANA,Santiago,13101,Avda. Libertador Bernardo Ohiggins N° 877,,,,,
1,2,Estado,dia y noche,4,08:45,20:45,,,2- 7150208,,,175249,2016-02-08,Peatonales,7,METROPOLITANA,Santiago,13101,Paseo Estado N°370,,,,,
1,3,Puente,dia y noche,4,08:45,20:45,,,2- 7150212,,,271223,2016-02-08,No Peatonales,8,METROPOLITANA,Santiago,13101,Paseo Puente N° 670,,,,,
1,4,San Antonio Puerto,noche,3,08:45,20:45,,,24227100,,,78942,2016-02-08,Peatonales,7,DE VALPARAÍSO,San Antonio,5601,Centenario N° 144,,,,,
1,5,Providencia,noche,3,08:45,20:45,,,2- 2520306,,,79621,2016-02-08,Peatonales,7,METROPOLITANA,Santiago,13123,Avda. Providencia N° 2212,,,,,
1,6,Puente Alto,dia y noche,4,08:45,20:45,,,2- 8729326,,,171624,2016-02-08,Peatonales,7,METROPOLITANA,Santiago,13201,Jose Luis Coo N° 040,,,,,
1,7,Ahumada 141,noche,3,08:45,20:45,,,2- 3800714,,,79053,2016-02-08,Peatonales,7,METROPOLITANA,Santiago,13101,Paseo Ahumada N° 141,,,,,
1,8,Mall Maipú,dia y noche,4,11:00,22:00,,,2- 7659301,,,125325,2016-02-08,No Peatonales,8,METROPOLITANA,Santiago,13119,Avda. Américo Vespucio 399 L-502 A,,,,,
1,9,Rancagua,dia y noche,4,08:45,20:45,,,72- 2 - 237141,,,187502,2016-02-08,Peatonales,7,DEL LIBERTADOR GRAL. BERNARDO O'HIGGINS,Rancagua,6101,Independencia N° 780,,,,,
1,10,Mall del Centro,dia y noche,4,10:00,21:00,,,2- 3801580,,,113539,2016-02-08,No Peatonales,8,METROPOLITANA,Santiago,13101,Paseo Puente N° 689 Local 6,,,,,
