idCliente,numero,nombre,jornada,idJornadaSugerida,horaApertura,horaCierre,emailContacto,codArea1,telefono1,codArea2,telefono2,stock,fechaActualizacionStock,Formato,idFormatoLocal,REGION,COMUNA/CIUDAD,cutComuna,direccion,referencia,gmapShortUrl,gmapIframeUrl,createdAt,editedAt
5,1,Portal Bulnes,noche,3,08:00,21:00,,,2-664 85 43,,2-664 85 43,1000,2016-04-05,MULTIFUNCIONAL,13,,Santiago,13101,Portal Bulnes N° 445,,,,,
5,3,U.L.A.,noche,3,11:00,20:00,,,2-682 06 49,,2-682 06 49,1000,2016-04-05,MULTIFUNCIONAL,13,,Santiago,13101,Avda. Libertador Bernardo Ohiggins N° 2837,,,,,
5,4,Manuel Montt,noche,3,08:30,21:30,,,2-362 16 83,,2-362 16 85,1000,2016-04-05,MULTIFUNCIONAL,13,,Providencia,13123,Avda. Providencia N° 1365,,,,,
5,5,Estación Central 1,noche,3,08:30,22:00,,,2-681 68 72,,2-681 68 72,1000,2016-04-05,MULTIFUNCIONAL,13,,Estación Central,13106,Avda. Libertador Bernardo Ohiggins N° 3307,,,,,
5,6,San Bernardo 1,noche,3,09:00,21:00,,,2-859 86 48,,2-859 86 48,1000,2016-04-05,MULTIFUNCIONAL,13,,San Bernardo,13401,Avda. Eyzaguirre N° 566,,,,,
5,7,Merced 1,noche,3,08:30,21:30,,,2-638 70 74,,2-638 70 74,1000,2016-04-05,MULTIFUNCIONAL,13,,Santiago,13101,Portal Bulnes N° 405,,,,,
5,8,Valparaíso 1,noche,3,09:00,22:00,,,32- 2- 230930,,32- 2- 230930,1000,2016-04-05,STORE,14,,Valparaíso,5101,Avda. Pedro Montt N° 1804,,,,,
5,9,Catedral,noche,3,08:30,21:30,,,2-688 02 69,,2-688 02 69,1000,2016-04-05,MULTIFUNCIONAL,13,,Santiago,13101,Catedral N° 1009 Local 2,,,,,
5,10,El Faro,noche,3,08:30,21:30,,,2-220 08 28,,2-220 08 28,1000,2016-04-05,MULTIFUNCIONAL,13,,Las Condes,13114,Avda. Apoquindo N° 5855 - 5879,,,,,
5,11,Vitacura 1,noche,3,08:00,22:00,,,2-219 16 56,,2-219 16 56,1000,2016-04-05,STORE,14,,Vitacura,13132,Avda. Vitacura N° 6710,,,,,
5,12,Maipú 1,noche,3,08:00,22:00,,,2-532 20 48,,2-532 20 48,1000,2016-04-05,STORE,14,,Maipú,13119,Avda. Pajaritos N° 1924,,,,,
5,14,Providencia 1,noche,3,08:30,22:00,,,2-231 72 54,,2-231 72 54,1000,2016-04-05,STORE,14,,Providencia,13123,Avda. Providencia N° 2076,,,,,
5,16,Talca 1,noche,3,09:00,22:00,,,71- 2- 228168,,71- 2- 228168,1000,2016-04-05,STORE,14,,Talca,7101,Uno Sur N° 1403,,,,,
5,17,Rancagua 1,noche,3,23:59,00:01,,,72- 2- 237825,,72- 2- 237825,1000,2016-04-05,MULTIFUNCIONAL,13,,Rancagua,6101,Avda. Independencia N° 798,,,,,
